,map_id,img_name,counts,my_dis,car_dis
0,000001,1.jpg,1,352.0,0.0
1,000001,2.jpg,1,345.0,0.0
2,000001,3.jpg,3,319.0,48.0
3,000001,4.jpg,3,273.0,25.0
4,000002,1.jpg,2,432.0,614.0
5,000002,2.jpg,2,118.0,55.0
6,000002,3.jpg,1,136.0,0.0
7,000002,4.jpg,2,300.0,290.0
8,000003,1.jpg,2,487.0,21.0
9,000003,2.jpg,6,292.0,22.0
10,000003,3.jpg,1,678.0,0.0
11,000003,4.jpg,0,0.0,0.0
12,000003,5.jpg,4,299.0,50.0
13,000004,1.jpg,6,619.0,26.0
14,000004,2.jpg,7,669.0,32.0
15,000004,3.jpg,9,745.0,13.0
16,000004,4.jpg,8,629.0,9.0
17,000005,1.jpg,1,530.0,0.0
18,000005,2.jpg,1,125.0,0.0
19,000005,3.jpg,0,0.0,0.0
20,000005,4.jpg,4,645.0,36.0
21,000005,5.jpg,3,580.0,34.0
22,000006,1.jpg,5,243.0,15.0
23,000006,2.jpg,6,290.0,135.0
24,000006,3.jpg,4,464.0,104.0
25,000006,4.jpg,6,179.0,31.0
26,000007,1.jpg,3,409.0,50.0
27,000007,2.jpg,3,411.0,67.0
28,000007,3.jpg,2,320.0,518.0
29,000007,4.jpg,3,308.0,131.0
30,000007,5.jpg,3,394.0,49.0
31,000008,1.jpg,5,199.0,27.0
32,000008,2.jpg,6,240.0,16.0
33,000008,3.jpg,8,180.0,12.0
34,000008,4.jpg,8,180.0,12.0
35,000008,5.jpg,7,192.0,9.0
36,000009,1.jpg,8,320.0,20.0
37,000009,2.jpg,8,195.0,6.0
38,000009,3.jpg,6,182.0,16.0
39,000009,4.jpg,5,149.0,25.0
40,000009,5.jpg,7,251.0,92.0
41,000010,1.jpg,0,0.0,0.0
42,000010,2.jpg,0,0.0,0.0
43,000010,3.jpg,0,0.0,0.0
44,000010,4.jpg,0,0.0,0.0
45,000011,1.jpg,5,255.0,21.0
46,000011,2.jpg,7,278.0,11.0
47,000011,3.jpg,6,278.0,30.0
48,000011,4.jpg,7,287.0,21.0
49,000012,1.jpg,7,287.0,26.0
50,000012,2.jpg,3,312.0,81.0
51,000012,3.jpg,4,499.0,13.0
52,000012,4.jpg,2,331.0,663.0
53,000013,1.jpg,2,182.0,80.0
54,000013,2.jpg,2,263.0,95.0
55,000013,3.jpg,0,0.0,0.0
56,000013,4.jpg,3,497.0,357.0
57,000013,5.jpg,3,366.0,254.0
58,000014,1.jpg,11,320.0,22.0
59,000014,2.jpg,11,466.0,34.0
60,000014,3.jpg,9,432.0,13.0
61,000014,4.jpg,7,299.0,41.0
62,000014,5.jpg,7,382.0,37.0
63,000015,1.jpg,5,347.0,26.0
64,000015,2.jpg,3,351.0,39.0
65,000015,3.jpg,2,304.0,194.0
66,000015,4.jpg,4,358.0,31.0
67,000015,5.jpg,1,413.0,0.0
68,000016,1.jpg,2,435.0,111.0
69,000016,2.jpg,2,428.0,128.0
70,000016,3.jpg,6,572.0,74.0
71,000016,4.jpg,11,408.0,24.0
72,000017,1.jpg,0,0.0,0.0
73,000017,2.jpg,0,0.0,0.0
74,000017,3.jpg,0,0.0,0.0
75,000017,4.jpg,0,0.0,0.0
76,000017,5.jpg,0,0.0,0.0
77,000018,1.jpg,3,166.0,55.0
78,000018,2.jpg,2,202.0,68.0
79,000018,3.jpg,2,410.0,488.0
80,000018,4.jpg,2,148.0,199.0
81,000018,5.jpg,0,0.0,0.0
82,000019,1.jpg,7,379.0,27.0
83,000019,2.jpg,4,309.0,210.0
84,000019,3.jpg,5,555.0,36.0
85,000019,4.jpg,6,293.0,115.0
86,000020,1.jpg,0,0.0,0.0
87,000020,2.jpg,1,278.0,0.0
88,000020,3.jpg,0,0.0,0.0
89,000020,4.jpg,0,0.0,0.0
90,000020,5.jpg,0,0.0,0.0
91,000021,1.jpg,4,553.0,57.0
92,000021,2.jpg,4,396.0,22.0
93,000021,3.jpg,4,522.0,106.0
94,000021,4.jpg,4,540.0,64.0
95,000021,5.jpg,4,371.0,28.0
96,000022,1.jpg,3,368.0,59.0
97,000022,2.jpg,4,553.0,186.0
98,000022,3.jpg,4,543.0,117.0
99,000022,4.jpg,4,455.0,56.0
100,000023,1.jpg,2,614.0,240.0
101,000023,2.jpg,3,437.0,517.0
102,000023,3.jpg,6,366.0,41.0
103,000023,4.jpg,1,376.0,0.0
104,000024,1.jpg,9,322.0,7.0
105,000024,2.jpg,7,528.0,6.0
106,000024,3.jpg,6,310.0,5.0
107,000024,4.jpg,12,215.0,0.0
108,000024,5.jpg,2,370.0,218.0
109,000025,1.jpg,1,727.0,0.0
110,000025,2.jpg,2,548.0,493.0
111,000025,3.jpg,1,276.0,0.0
112,000025,4.jpg,1,279.0,0.0
113,000026,1.jpg,4,424.0,17.0
114,000026,2.jpg,3,314.0,35.0
115,000026,3.jpg,0,0.0,0.0
116,000026,4.jpg,4,562.0,150.0
117,000026,5.jpg,0,0.0,0.0
118,000027,1.jpg,0,0.0,0.0
119,000027,2.jpg,0,0.0,0.0
120,000027,3.jpg,0,0.0,0.0
121,000027,4.jpg,0,0.0,0.0
122,000028,1.jpg,2,162.0,324.0
123,000028,2.jpg,1,348.0,0.0
124,000028,3.jpg,1,233.0,0.0
125,000028,4.jpg,1,256.0,0.0
126,000028,5.jpg,2,263.0,526.0
127,000029,1.jpg,9,296.0,11.0
128,000029,2.jpg,7,342.0,67.0
129,000029,3.jpg,5,248.0,34.0
130,000029,4.jpg,5,186.0,22.0
131,000029,5.jpg,8,299.0,47.0
132,000030,1.jpg,3,328.0,58.0
133,000030,2.jpg,5,346.0,51.0
134,000030,3.jpg,6,298.0,38.0
135,000030,4.jpg,6,346.0,38.0
136,000030,5.jpg,5,308.0,75.0
137,000031,1.jpg,1,90.0,0.0
138,000031,2.jpg,2,277.0,151.0
139,000031,3.jpg,3,256.0,54.0
140,000031,4.jpg,1,242.0,0.0
141,000032,1.jpg,7,143.0,26.0
142,000032,2.jpg,4,170.0,36.0
143,000032,3.jpg,9,170.0,7.0
144,000032,4.jpg,8,138.0,29.0
145,000032,5.jpg,10,180.0,11.0
146,000033,1.jpg,1,5.0,0.0
147,000033,2.jpg,0,0.0,0.0
148,000033,3.jpg,0,0.0,0.0
149,000033,4.jpg,0,0.0,0.0
150,000033,5.jpg,0,0.0,0.0
151,000034,1.jpg,8,312.0,26.0
152,000034,2.jpg,8,361.0,51.0
153,000034,3.jpg,7,426.0,54.0
154,000035,1.jpg,8,739.0,10.0
155,000035,2.jpg,7,636.0,75.0
156,000035,3.jpg,9,399.0,15.0
157,000035,4.jpg,12,462.0,31.0
158,000036,1.jpg,3,195.0,52.0
159,000036,2.jpg,5,102.0,20.0
160,000036,3.jpg,5,121.0,50.0
161,000036,4.jpg,2,370.0,740.0
162,000037,1.jpg,1,88.0,0.0
163,000037,2.jpg,3,863.0,75.0
164,000037,3.jpg,3,516.0,114.0
165,000037,4.jpg,2,515.0,210.0
166,000038,1.jpg,2,172.0,81.0
167,000038,2.jpg,1,192.0,0.0
168,000038,3.jpg,1,186.0,0.0
169,000038,4.jpg,2,193.0,94.0
170,000038,5.jpg,2,191.0,108.0
171,000039,1.jpg,5,648.0,52.0
172,000039,2.jpg,3,779.0,134.0
173,000039,3.jpg,4,616.0,69.0
174,000039,4.jpg,8,762.0,11.0
175,000040,1.jpg,0,0.0,0.0
176,000040,2.jpg,0,0.0,0.0
177,000040,3.jpg,1,705.0,0.0
178,000040,4.jpg,0,0.0,0.0
179,000040,5.jpg,1,722.0,0.0
180,000041,1.jpg,0,0.0,0.0
181,000041,2.jpg,4,437.0,0.0
182,000041,3.jpg,1,269.0,0.0
183,000041,4.jpg,0,0.0,0.0
184,000041,5.jpg,0,0.0,0.0
185,000042,1.jpg,2,574.0,251.0
186,000042,2.jpg,2,583.0,354.0
187,000042,3.jpg,0,0.0,0.0
188,000042,4.jpg,0,0.0,0.0
189,000042,5.jpg,1,425.0,0.0
190,000043,1.jpg,0,0.0,0.0
191,000043,2.jpg,0,0.0,0.0
192,000043,3.jpg,1,435.0,0.0
193,000043,4.jpg,1,260.0,0.0
194,000044,1.jpg,5,161.0,33.0
195,000044,2.jpg,7,139.0,16.0
196,000044,3.jpg,5,101.0,24.0
197,000044,4.jpg,4,138.0,53.0
198,000045,1.jpg,0,0.0,0.0
199,000045,2.jpg,0,0.0,0.0
200,000045,3.jpg,0,0.0,0.0
201,000045,4.jpg,0,0.0,0.0
202,000046,1.jpg,1,582.0,0.0
203,000046,2.jpg,2,447.0,270.0
204,000046,3.jpg,2,654.0,158.0
205,000046,4.jpg,2,627.0,80.0
206,000046,5.jpg,2,613.0,77.0
207,000047,1.jpg,1,454.0,0.0
208,000047,2.jpg,1,449.0,0.0
209,000047,3.jpg,2,367.0,75.0
210,000047,4.jpg,3,408.0,203.0
211,000047,5.jpg,2,418.0,97.0
212,000048,1.jpg,5,465.0,120.0
213,000048,2.jpg,3,319.0,31.0
214,000048,3.jpg,6,516.0,3.0
215,000048,4.jpg,4,509.0,160.0
216,000049,1.jpg,6,246.0,60.0
217,000049,2.jpg,1,100.0,0.0
218,000049,3.jpg,6,564.0,15.0
219,000049,4.jpg,3,306.0,164.0
220,000049,5.jpg,11,394.0,3.0
221,000050,1.jpg,1,322.0,0.0
222,000050,2.jpg,0,0.0,0.0
223,000050,3.jpg,1,299.0,0.0
224,000050,4.jpg,1,383.0,0.0
225,000050,5.jpg,1,393.0,0.0
226,000051,1.jpg,5,296.0,182.0
227,000051,2.jpg,2,152.0,160.0
228,000051,3.jpg,2,104.0,100.0
229,000051,4.jpg,3,260.0,252.0
230,000051,5.jpg,2,259.0,519.0
231,000052,1.jpg,4,499.0,59.0
232,000052,2.jpg,5,496.0,70.0
233,000052,3.jpg,7,434.0,36.0
234,000052,4.jpg,5,432.0,42.0
235,000053,1.jpg,3,187.0,149.0
236,000053,2.jpg,4,223.0,59.0
237,000053,3.jpg,5,219.0,55.0
238,000053,4.jpg,4,267.0,115.0
239,000053,5.jpg,4,404.0,240.0
240,000054,1.jpg,3,337.0,52.0
241,000054,2.jpg,4,309.0,19.0
242,000054,3.jpg,3,242.0,58.0
243,000054,4.jpg,5,231.0,28.0
244,000054,5.jpg,4,296.0,14.0
245,000055,1.jpg,10,376.0,17.0
246,000055,2.jpg,12,394.0,20.0
247,000055,3.jpg,9,363.0,28.0
248,000055,4.jpg,9,461.0,20.0
249,000056,1.jpg,2,411.0,422.0
250,000056,2.jpg,1,387.0,0.0
251,000056,3.jpg,3,678.0,190.0
252,000056,4.jpg,3,673.0,147.0
253,000056,5.jpg,2,679.0,412.0
254,000057,1.jpg,1,314.0,0.0
255,000057,2.jpg,1,336.0,0.0
256,000057,3.jpg,4,214.0,44.0
257,000057,4.jpg,5,207.0,48.0
258,000057,5.jpg,1,414.0,0.0
259,000058,1.jpg,8,257.0,9.0
260,000058,2.jpg,6,305.0,71.0
261,000058,3.jpg,11,323.0,23.0
262,000058,4.jpg,8,383.0,36.0
263,000058,5.jpg,10,286.0,32.0
264,000059,1.jpg,6,557.0,83.0
265,000059,2.jpg,8,453.0,29.0
266,000059,3.jpg,7,429.0,61.0
267,000059,4.jpg,10,428.0,15.0
268,000060,1.jpg,3,288.0,49.0
269,000060,2.jpg,3,322.0,115.0
270,000060,3.jpg,3,225.0,97.0
271,000060,4.jpg,2,407.0,478.0
272,000060,5.jpg,4,273.0,33.0
273,000061,1.jpg,3,591.0,262.0
274,000061,2.jpg,3,428.0,69.0
275,000061,3.jpg,2,448.0,133.0
276,000061,4.jpg,2,409.0,130.0
277,000061,5.jpg,2,242.0,291.0
278,000062,1.jpg,5,186.0,32.0
279,000062,2.jpg,7,339.0,45.0
280,000062,3.jpg,5,211.0,31.0
281,000062,4.jpg,4,213.0,37.0
282,000062,5.jpg,2,223.0,175.0
283,000063,1.jpg,3,420.0,45.0
284,000063,2.jpg,3,637.0,81.0
285,000063,3.jpg,4,621.0,6.0
286,000063,4.jpg,3,602.0,36.0
287,000063,5.jpg,6,424.0,13.0
288,000064,1.jpg,5,261.0,134.0
289,000064,2.jpg,4,105.0,39.0
290,000064,3.jpg,4,122.0,36.0
291,000064,4.jpg,3,100.0,60.0
292,000064,5.jpg,4,119.0,31.0
293,000065,1.jpg,7,577.0,20.0
294,000065,2.jpg,7,473.0,47.0
295,000065,3.jpg,6,704.0,70.0
296,000065,4.jpg,6,725.0,35.0
297,000065,5.jpg,5,790.0,46.0
